epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,329.94,1.34767,1.50825,1.40436,0.63484,0.56566,0.57721,0.30518,1.81047,3.08032,1.89119,0.000369665,0.000369665,0.000369665
2,639.145,1.38704,1.42926,1.42722,0.67649,0.57609,0.61206,0.31452,1.74433,2.401,1.82958,0.000725346,0.000725346,0.000725346
3,947.009,1.3487,1.37544,1.40315,0.69838,0.60378,0.6527,0.36802,1.60185,1.68814,1.68946,0.00106636,0.00106636,0.00106636
4,1254.3,1.28043,1.2875,1.36383,0.74987,0.66363,0.71469,0.41006,1.54259,1.59428,1.69129,0.00104501,0.00104501,0.00104501
5,1561.69,1.2356,1.17208,1.32493,0.81227,0.72099,0.79463,0.47945,1.39851,1.1785,1.52528,0.00102301,0.00102301,0.00102301
6,1868.93,1.19759,1.09552,1.29744,0.81901,0.70575,0.78699,0.47025,1.38444,1.27314,1.50404,0.00100101,0.00100101,0.00100101
7,2175.83,1.16478,1.0589,1.27816,0.82027,0.74806,0.81615,0.50377,1.35722,1.12253,1.50969,0.000979013,0.000979013,0.000979013
8,2482.97,1.13891,1.00653,1.26062,0.83843,0.76763,0.83509,0.519,1.32243,1.08114,1.45913,0.000957015,0.000957015,0.000957015
9,2790,1.12638,0.9773,1.24975,0.8692,0.76417,0.83962,0.53055,1.28702,1.04754,1.43549,0.000935018,0.000935018,0.000935018
10,3097.16,1.09678,0.94427,1.23843,0.83793,0.7628,0.83316,0.52819,1.27318,1.07417,1.42511,0.00091302,0.00091302,0.00091302
11,3403.95,1.08363,0.90946,1.22909,0.83962,0.78903,0.85483,0.53623,1.2676,0.98061,1.42009,0.000891022,0.000891022,0.000891022
12,3711.23,1.07253,0.88576,1.21212,0.84934,0.82031,0.87571,0.55937,1.24136,0.87981,1.39753,0.000869024,0.000869024,0.000869024
13,4018.37,1.05487,0.8724,1.20482,0.87437,0.79094,0.87099,0.56212,1.21159,0.87974,1.36097,0.000847026,0.000847026,0.000847026
14,4325.42,1.03639,0.84263,1.19766,0.85545,0.8314,0.89306,0.58239,1.20372,0.80521,1.35969,0.000825029,0.000825029,0.000825029
15,4632.41,1.02589,0.82425,1.18913,0.87893,0.80881,0.88721,0.5794,1.19101,0.80618,1.35213,0.000803031,0.000803031,0.000803031
16,4938.95,1.01692,0.80115,1.17917,0.87175,0.80674,0.87995,0.57799,1.16945,0.83771,1.3215,0.000781033,0.000781033,0.000781033
17,5245.78,0.99838,0.78571,1.17227,0.88663,0.8215,0.8941,0.58432,1.16645,0.80157,1.33079,0.000759035,0.000759035,0.000759035
18,5552.99,0.99356,0.77183,1.16774,0.89511,0.8299,0.90071,0.58359,1.19121,0.77413,1.33762,0.000737037,0.000737037,0.000737037
19,5859.64,0.9876,0.76199,1.16664,0.87622,0.83412,0.89613,0.58591,1.16893,0.77555,1.31582,0.00071504,0.00071504,0.00071504
20,6166.67,0.9703,0.74338,1.15435,0.8834,0.83865,0.90416,0.59926,1.16164,0.75106,1.31149,0.000693042,0.000693042,0.000693042
21,6473.69,0.95823,0.72907,1.14777,0.88265,0.84186,0.90231,0.59632,1.15688,0.74187,1.32484,0.000671044,0.000671044,0.000671044
22,6780.63,0.95348,0.71946,1.144,0.89623,0.83565,0.90663,0.60802,1.13682,0.72099,1.30248,0.000649046,0.000649046,0.000649046
23,7087.4,0.93768,0.70373,1.13364,0.90469,0.85727,0.91658,0.60573,1.14449,0.7053,1.29688,0.000627048,0.000627048,0.000627048
24,7393.91,0.93143,0.69374,1.12728,0.90243,0.83351,0.91177,0.60347,1.14656,0.7113,1.28565,0.000605051,0.000605051,0.000605051
25,7700.34,0.9227,0.67962,1.12387,0.91612,0.84328,0.92098,0.6129,1.14063,0.68431,1.29051,0.000583053,0.000583053,0.000583053
26,8007.28,0.91451,0.66779,1.11732,0.90899,0.85155,0.91415,0.61229,1.12934,0.69845,1.28677,0.000561055,0.000561055,0.000561055
27,8314.01,0.90912,0.65577,1.11725,0.90612,0.87142,0.92415,0.62199,1.10672,0.66395,1.27016,0.000539057,0.000539057,0.000539057
28,8620.91,0.89818,0.64828,1.10883,0.90293,0.86289,0.91872,0.62253,1.1082,0.66341,1.27881,0.000517059,0.000517059,0.000517059
29,8927.64,0.88601,0.64058,1.10563,0.90812,0.86183,0.92176,0.62552,1.09709,0.67332,1.26632,0.000495062,0.000495062,0.000495062
30,9234.6,0.88105,0.62486,1.1023,0.92358,0.84932,0.9233,0.61974,1.11001,0.65237,1.27578,0.000473064,0.000473064,0.000473064
31,9541.16,0.87139,0.61618,1.0951,0.93217,0.86146,0.93012,0.62248,1.09466,0.63379,1.26026,0.000451066,0.000451066,0.000451066
32,9847.86,0.86801,0.60838,1.09095,0.90678,0.86804,0.92821,0.63351,1.07642,0.63609,1.24257,0.000429068,0.000429068,0.000429068
33,10154.9,0.85537,0.59911,1.08413,0.9124,0.84848,0.92203,0.6177,1.09006,0.656,1.25144,0.00040707,0.00040707,0.00040707
34,10461.8,0.84673,0.58823,1.08137,0.90779,0.87216,0.9305,0.63264,1.07022,0.63078,1.24878,0.000385073,0.000385073,0.000385073
